"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@BennyHarmanID Setelah sirkuit mandalika selesai di bangun banyak yang berharap Indonesia melahirkan pembalap kelas… https://t.co/YAtswPFxMc",FALSE,0,"BennyHarmanID",2021-11-29 09:46:32,TRUE,"1464772975341629443","1465255848561680388","4326839355","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BudiStr2",0,FALSE,FALSE,NA,NA
"Bemo lampu 3 pu balari nii bikin Bakunase sama ke di Mandalika saa",FALSE,0,NA,2021-11-29 09:43:42,FALSE,NA,"1465255135966236677",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrnitmnb",0,FALSE,FALSE,NA,NA
"RT @ScherazadeMS: <U+0001F6A8> BREAKING <U+0001F6A8>

FIM telah merilis kalender sementara World Superbike, World Supersport dan World Supersport 300 musim 2022.…",FALSE,0,NA,2021-11-29 09:42:54,FALSE,NA,"1465254937638543362",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SuperGiantAxe",33,TRUE,FALSE,NA,NA
"RT @YRadianto: Buzzer internasional Istana makin menggila.

Speedweek menurunkan artikel yang berjudul ""Lombok: Surga baru untuk World Supe…",FALSE,0,NA,2021-11-29 09:42:54,FALSE,NA,"1465254937244303365",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dijei_Mc",163,TRUE,FALSE,NA,NA
"Gagal di WSBK Mandalika, Bautista Ancaman Serius Toprak Musim Depan https://t.co/5dwat4YMEw",FALSE,3,NA,2021-11-29 09:41:52,FALSE,NA,"1465254674622152708",NA,"<a href=""http://www.detik.com/"" rel=""nofollow"">detikcommunity</a>","CNNIndonesia",0,FALSE,FALSE,NA,NA
"RT @BLU_LMAN: Acara balap motor di Sirkuit Mandalika akan digelar sebentar lagi nih #SahabatAset. Siapa yang udah ngga sabar buat nonton la…",FALSE,0,NA,2021-11-29 09:39:28,FALSE,NA,"1465254073184100355",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chinhle47789403",21,TRUE,FALSE,NA,NA
"Halo #SobATRBPN Kab Bantul <U+0001F64C>

#Repost @atr_bpn
...
Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud… https://t.co/6WY2BmOdGo",FALSE,0,NA,2021-11-29 09:39:16,TRUE,NA,"1465254021921345538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KantahKabBantul",0,FALSE,FALSE,NA,NA
"BW Ingin Formula E di Jakarta Berjalan Lancar Seperti WSBK Mandalika https://t.co/tZlbL3BMJx",FALSE,1,NA,2021-11-29 09:39:09,FALSE,NA,"1465253993945260040",NA,"<a href=""http://www.jawapos.com"" rel=""nofollow"">Jawapos.com auto tweet</a>","jawapos",0,FALSE,FALSE,NA,NA
"""Desain rumah khusus itu juga ditangani langsung oleh PUPR. Semoga tahun depan warga sudah bisa menempati rumahnya… https://t.co/ERwu6QVNIu",FALSE,1,NA,2021-11-29 09:35:05,TRUE,NA,"1465252970430283777",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","kompascom",0,FALSE,FALSE,NA,NA
"Repost @atr_bpn 
Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud karena adanya pengadaan tanah yang… https://t.co/a1RSZyMpQG",FALSE,0,NA,2021-11-29 09:34:42,TRUE,NA,"1465252872702947329",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kantahkotasolok",0,FALSE,FALSE,NA,NA
"Kalender Resmi MotoGP 2022 Lengkap Jadwal MotoGP 2022 Sirkuit Mandalika
 
https://t.co/FfydhfTuJf lewat @tribunpontianak",FALSE,0,NA,2021-11-29 09:34:02,FALSE,NA,"1465252704049979392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tribunpontianak",0,FALSE,FALSE,NA,NA
"@musniumar Takut banget nama Anies mencuat ape begimana ini, perasaan pas WSBK di Mandalika ga pernah bahas Jokowi <U+0001F602>",FALSE,0,"musniumar",2021-11-29 09:33:02,FALSE,"1464902135426863110","1465252450869211145","114697372","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adjin_",0,FALSE,FALSE,NA,NA
"Vini Vidi Vici @jokowi
https://t.co/TjuyQWkpGI

Kabar gembira datang usai gelaran WSBK Mandalika. Pariwisata Lombok… https://t.co/STPRn60pMv",FALSE,1,NA,2021-11-29 09:31:07,TRUE,NA,"1465251969921019909",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngelMaximilan",0,FALSE,FALSE,NA,NA
"Knp ke dprd gak bisa transparan?
Ngoceh aja
https://t.co/s1JvaWi1AK

BW membandingkan Formula E dengan ajang balap… https://t.co/LtKNu3amGC",FALSE,0,NA,2021-11-29 09:29:03,TRUE,NA,"1465251452272537603",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akunrec09153247",0,FALSE,FALSE,NA,NA
"Dorna Sport merilis sejumlah evaluasi pengamanan ajang IATC dan WSBK di Sirkuit Mandalika 2021. Terutama pengamanan… https://t.co/0Sodz5QJUs",FALSE,0,NA,2021-11-29 09:28:21,TRUE,NA,"1465251274857668611",NA,"<a href=""http://www.jpnn.com"" rel=""nofollow"">JPNN News Update</a>","jpnncom",0,FALSE,FALSE,NA,NA
"@AngelMaximilan Bagai pungguk merindukan bulan.. 
https://t.co/CWlopaOdXN

BW membandingkan Formula E dengan ajang… https://t.co/AGhWiKxDUO",FALSE,1,"AngelMaximilan",2021-11-29 09:26:36,TRUE,NA,"1465250833734397952","2162529847","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngelMaximilan",0,FALSE,FALSE,NA,NA
